STATE_COUNTY,WHITESPER
GA_CLAYTON,0.18899999999999997
GA_CLINCH,0.674
GA_COBB,0.622
GA_COFFEE,0.647
GA_COLQUITT,0.647
GA_COLUMBIA,0.765
GA_COOK,0.67
GA_COWETA,0.759
GA_CRAWFORD,0.746
GA_CRISP,0.5329999999999999
GA_DADE,0.96
GA_DAWSON,0.956
GA_DECATUR,0.542
GA_DEKALB,0.33299999999999996
GA_DODGE,0.6679999999999999
GA_DOOLY,0.456
GA_DOUGHERTY,0.29600000000000004
GA_DOUGLAS,0.525
GA_EARLY,0.484
GA_ECHOLS,0.7490000000000001
GA_EFFINGHAM,0.826
GA_ELBERT,0.659
GA_EMANUEL,0.616
GA_EVANS,0.588
GA_FANNIN,0.971
GA_FAYETTE,0.711
GA_FLOYD,0.769
GA_FORSYTH,0.8540000000000001
GA_FRANKLIN,0.873
GA_FULTON,0.445
GA_GILMER,0.9229999999999999
GA_GLASCOCK,0.898
GA_GLYNN,0.6759999999999999
GA_GORDON,0.852
GA_GRADY,0.628
GA_GREENE,0.5660000000000001
GA_GWINNETT,0.5329999999999999
GA_HABERSHAM,0.857
GA_HALL,0.741
GA_HANCOCK,0.244
GA_HARALSON,0.9279999999999999
GA_HARRIS,0.7929999999999999
GA_HART,0.774
GA_HEARD,0.8690000000000001
GA_HENRY,0.55
GA_HOUSTON,0.633
GA_IRWIN,0.7140000000000001
GA_JACKSON,0.868
GA_JASPER,0.7390000000000001
GA_JEFFDAVIS,0.7609999999999999
GA_JEFFERSON,0.426
GA_JENKINS,0.5489999999999999
GA_JOHNSON,0.631
GA_JONES,0.732
GA_LAMAR,0.66
GA_LANIER,0.706
GA_LAURENS,0.606
GA_LEE,0.769
GA_LIBERTY,0.47100000000000003
GA_LINCOLN,0.657
GA_LONG,0.624
GA_LOWNDES,0.581
GA_LUMPKIN,0.9440000000000001
GA_MCDUFFIE,0.5720000000000001
GA_MCINTOSH,0.615
GA_MACON,0.35100000000000003
GA_MADISON,0.8759999999999999
GA_MARION,0.601
GA_MERIWETHER,0.579
GA_MILLER,0.696
GA_MITCHELL,0.479
GA_MONROE,0.733
GA_MONTGOMERY,0.69
GA_MORGAN,0.727
GA_MURRAY,0.8909999999999999
GA_MUSCOGEE,0.46299999999999997
GA_NEWTON,0.5379999999999999
GA_OCONEE,0.884
GA_OGLETHORPE,0.7829999999999999
GA_PAULDING,0.777
GA_PEACH,0.483
GA_PICKENS,0.9570000000000001
GA_PIERCE,0.8690000000000001
GA_PIKE,0.873
GA_POLK,0.7709999999999999
GA_PULASKI,0.639
GA_PUTNAM,0.679
GA_QUITMAN,0.513
GA_RABUN,0.9329999999999999
GA_RANDOLPH,0.366
GA_RICHMOND,0.397
GA_ROCKDALE,0.44799999999999995
GA_SCHLEY,0.73
GA_SCREVEN,0.546
GA_SEMINOLE,0.6409999999999999
GA_SPALDING,0.627
GA_STEPHENS,0.851
GA_STEWART,0.28
GA_SUMTER,0.42200000000000004
GA_TALBOT,0.39
GA_TALIAFERRO,0.373
GA_TATTNALL,0.627
GA_TAYLOR,0.585
GA_TELFAIR,0.57
GA_TERRELL,0.366
GA_THOMAS,0.596
GA_TIFT,0.614
GA_TOOMBS,0.6509999999999999
GA_TOWNS,0.977
GA_TREUTLEN,0.652
GA_TROUP,0.615
GA_TURNER,0.547
GA_TWIGGS,0.568
GA_UNION,0.968
GA_UPSON,0.688
GA_WALKER,0.93
GA_WALTON,0.8009999999999999
GA_WARE,0.664
GA_WARREN,0.369
GA_WASHINGTON,0.45
GA_WAYNE,0.7490000000000001
GA_WEBSTER,0.54
GA_WHEELER,0.613
GA_WHITE,0.951
GA_WHITFIELD,0.7659999999999999
GA_WILCOX,0.617
GA_WILKES,0.53
GA_WILKINSON,0.585
GA_WORTH,0.703
HI_HAWAII,0.337
HI_HONOLULU,0.20800000000000002
HI_KALAWAO,0.267
HI_KAUAI,0.33
HI_MAUI,0.344
ID_ADA,0.903
ID_ADAMS,0.961
ID_BANNOCK,0.898
ID_BEARLAKE,0.963
ID_BENEWAH,0.866
ID_BINGHAM,0.8059999999999999
ID_BLAINE,0.8490000000000001
ID_BOISE,0.9540000000000001
ID_BONNER,0.96
ID_BONNEVILLE,0.9059999999999999
ID_BOUNDARY,0.948
ID_BUTTE,0.955
ID_CAMAS,0.941
ID_CANYON,0.83
ID_CARIBOU,0.953
ID_CASSIA,0.818
ID_CLARK,0.7240000000000001
ID_CLEARWATER,0.9390000000000001
ID_CUSTER,0.9640000000000001
ID_ELMORE,0.8220000000000001
ID_FRANKLIN,0.9440000000000001
ID_FREMONT,0.895
ID_GEM,0.934
ID_GOODING,0.807
ID_IDAHO,0.938
ID_JEFFERSON,0.912
ID_JEROME,0.8
ID_KOOTENAI,0.945
ID_LATAH,0.9279999999999999
ID_LEMHI,0.9640000000000001
ID_LEWIS,0.903
ID_LINCOLN,0.8009999999999999
ID_MADISON,0.9390000000000001
ID_MINIDOKA,0.802
ID_NEZPERCE,0.9009999999999999
ID_ONEIDA,0.9670000000000001
ID_OWYHEE,0.76
ID_PAYETTE,0.8859999999999999
ID_POWER,0.7509999999999999
ID_SHOSHONE,0.9540000000000001
ID_TETON,0.856
ID_TWINFALLS,0.889
ID_VALLEY,0.958
ID_WASHINGTON,0.866
IL_ADAMS,0.937
IL_ALEXANDER,0.609
IL_BOND,0.909
IL_BOONE,0.8440000000000001
IL_BROWN,0.7609999999999999
IL_BUREAU,0.9420000000000001
IL_CALHOUN,0.9890000000000001
IL_CARROLL,0.9690000000000001
IL_CASS,0.863
IL_CHAMPAIGN,0.7340000000000001
IL_CHRISTIAN,0.966
IL_CLARK,0.981
IL_CLAY,0.977
IL_CLINTON,0.934
IL_COLES,0.929
IL_COOK,0.5539999999999999
IL_CRAWFORD,0.9279999999999999
IL_CUMBERLAND,0.983
IL_DEKALB,0.851
IL_DEWITT,0.968
IL_DOUGLAS,0.9570000000000001
IL_DUPAGE,0.779
IL_EDGAR,0.983
IL_EDWARDS,0.98
IL_EFFINGHAM,0.976
IL_FAYETTE,0.937
IL_FORD,0.971
IL_FRANKLIN,0.977
IL_FULTON,0.934
IL_GALLATIN,0.9790000000000001
IL_GREENE,0.9790000000000001
IL_GRUNDY,0.937
IL_HAMILTON,0.982
IL_HANCOCK,0.98
IL_HARDIN,0.973
IL_HENDERSON,0.982
IL_HENRY,0.948
IL_IROQUOIS,0.9470000000000001
IL_JACKSON,0.778
IL_JASPER,0.986
IL_JEFFERSON,0.884
IL_JERSEY,0.976
IL_JODAVIESS,0.972
IL_JOHNSON,0.89
IL_KANE,0.746
IL_KANKAKEE,0.7759999999999999
IL_KENDALL,0.836
IL_KNOX,0.875
IL_LAKE,0.7509999999999999
IL_LASALLE,0.932
IL_LAWRENCE,0.873
IL_LEE,0.909
IL_LIVINGSTON,0.9179999999999999
IL_LOGAN,0.8909999999999999
IL_MCDONOUGH,0.904
IL_MCHENRY,0.9009999999999999
IL_MCLEAN,0.843
IL_MACON,0.7929999999999999
IL_MACOUPIN,0.976
IL_MADISON,0.882
IL_MARION,0.9309999999999999
IL_MARSHALL,0.971
IL_MASON,0.981
IL_MASSAC,0.91
IL_MENARD,0.975
IL_MERCER,0.983
IL_MONROE,0.98
IL_MONTGOMERY,0.951
IL_MORGAN,0.909
IL_MOULTRIE,0.985
IL_OGLE,0.932
IL_PEORIA,0.7440000000000001
IL_PERRY,0.879
IL_PIATT,0.98
IL_PIKE,0.9690000000000001
IL_POPE,0.917
IL_PULASKI,0.644
IL_PUTNAM,0.966
IL_RANDOLPH,0.8759999999999999
IL_RICHLAND,0.973
IL_ROCKISLAND,0.816
IL_STCLAIR,0.6459999999999999
IL_SALINE,0.93
IL_SANGAMON,0.836
IL_SCHUYLER,0.955
IL_SCOTT,0.986
IL_SHELBY,0.986
IL_STARK,0.977
IL_STEPHENSON,0.865
IL_TAZEWELL,0.9620000000000001
IL_UNION,0.948
IL_VERMILION,0.825
IL_WABASH,0.9690000000000001
IL_WARREN,0.9129999999999999
IL_WASHINGTON,0.977
IL_WAYNE,0.98
IL_WHITE,0.981
IL_WHITESIDE,0.922
IL_WILL,0.76
IL_WILLIAMSON,0.927
IL_WINNEBAGO,0.774
IL_WOODFORD,0.9740000000000001
IN_ADAMS,0.97
IN_ALLEN,0.7929999999999999
IN_BARTHOLOMEW,0.8959999999999999
IN_BENTON,0.9590000000000001
IN_BLACKFORD,0.977
IN_BOONE,0.953
IN_BROWN,0.976
IN_CARROLL,0.968
IN_CASS,0.882
IN_CLARK,0.871
IN_CLAY,0.978
IN_CLINTON,0.91
IN_CRAWFORD,0.9740000000000001
IN_DAVIESS,0.95
IN_DEARBORN,0.975
IN_DECATUR,0.973
IN_DEKALB,0.9690000000000001
IN_DELAWARE,0.8909999999999999
IN_DUBOIS,0.951
IN_ELKHART,0.8290000000000001
IN_FAYETTE,0.9690000000000001
IN_FLOYD,0.904
IN_FOUNTAIN,0.975
IN_FRANKLIN,0.983
IN_FULTON,0.95
IN_GIBSON,0.955
IN_GRANT,0.882
IN_GREENE,0.981
IN_HAMILTON,0.885
IN_HANCOCK,0.9520000000000001
IN_HARRISON,0.9740000000000001
IN_HENDRICKS,0.9009999999999999
IN_HENRY,0.9570000000000001
IN_HOWARD,0.8859999999999999
IN_HUNTINGTON,0.971
IN_JACKSON,0.945
IN_JASPER,0.958
IN_JAY,0.97
IN_JEFFERSON,0.9520000000000001
IN_JENNINGS,0.968
IN_JOHNSON,0.9390000000000001
IN_KNOX,0.9490000000000001
IN_KOSCIUSKO,0.9329999999999999
IN_LAGRANGE,0.966
IN_LAKE,0.644
IN_LAPORTE,0.841
IN_LAWRENCE,0.973
IN_MADISON,0.877
IN_MARION,0.627
IN_MARSHALL,0.935
IN_MARTIN,0.9840000000000001
IN_MIAMI,0.9179999999999999
IN_MONROE,0.878
IN_MONTGOMERY,0.9520000000000001
IN_MORGAN,0.977
IN_NEWTON,0.9620000000000001
IN_NOBLE,0.925
IN_OHIO,0.981
IN_ORANGE,0.97
IN_OWEN,0.9790000000000001
IN_PARKE,0.961
IN_PERRY,0.96
IN_PIKE,0.982
IN_PORTER,0.9129999999999999
IN_POSEY,0.972
IN_PULASKI,0.972
IN_PUTNAM,0.934
IN_RANDOLPH,0.961
IN_RIPLEY,0.976
IN_RUSH,0.9740000000000001
IN_STJOSEPH,0.787
IN_SCOTT,0.9790000000000001
IN_SHELBY,0.9540000000000001
IN_SPENCER,0.9690000000000001
IN_STARKE,0.971
IN_STEUBEN,0.968
IN_SULLIVAN,0.937
IN_SWITZERLAND,0.978
IN_TIPPECANOE,0.84
IN_TIPTON,0.976
IN_UNION,0.975
IN_VANDERBURGH,0.862
IN_VERMILLION,0.983
IN_VIGO,0.883
IN_WABASH,0.966
IN_WARREN,0.983
IN_WARRICK,0.95
IN_WASHINGTON,0.981
IN_WAYNE,0.902
IN_WELLS,0.973
IN_WHITE,0.9390000000000001
IN_WHITLEY,0.976
IA_ADAIR,0.9840000000000001
IA_ADAMS,0.981
IA_ALLAMAKEE,0.96
IA_APPANOOSE,0.977
IA_AUDUBON,0.986
IA_BENTON,0.981
IA_BLACKHAWK,0.856
IA_BOONE,0.97
IA_BREMER,0.972
IA_BUCHANAN,0.978
IA_BUENAVISTA,0.807
IA_BUTLER,0.9840000000000001
IA_CALHOUN,0.985
IA_CARROLL,0.973
IA_CASS,0.977
IA_CEDAR,0.978
IA_CERROGORDO,0.95
IA_CHEROKEE,0.966
IA_CHICKASAW,0.9740000000000001
IA_CLARKE,0.943
IA_CLAY,0.965
IA_CLAYTON,0.978
IA_CLINTON,0.94
IA_CRAWFORD,0.8290000000000001
IA_DALLAS,0.922
IA_DAVIS,0.9840000000000001
IA_DECATUR,0.9540000000000001
IA_DELAWARE,0.986
IA_DESMOINES,0.91
IA_DICKINSON,0.983
IA_DUBUQUE,0.941
IA_EMMET,0.9309999999999999
IA_FAYETTE,0.97
IA_FLOYD,0.958
IA_FRANKLIN,0.9359999999999999
IA_FREMONT,0.9690000000000001
IA_GREENE,0.976
IA_GRUNDY,0.985
IA_GUTHRIE,0.976
IA_HAMILTON,0.938
IA_HANCOCK,0.966
IA_HARDIN,0.958
IA_HARRISON,0.982
IA_HENRY,0.9209999999999999
IA_HOWARD,0.981
IA_HUMBOLDT,0.96
IA_IDA,0.981
IA_IOWA,0.978
IA_JACKSON,0.9740000000000001
