STATE_COUNTY,AFAMERPER
GA_ROCKDALE,0.46399999999999997
GA_SCHLEY,0.233
GA_SCREVEN,0.433
GA_SEMINOLE,0.33399999999999996
GA_SPALDING,0.32799999999999996
GA_STEPHENS,0.109
GA_STEWART,0.473
GA_SUMTER,0.518
GA_TALBOT,0.5920000000000001
GA_TALIAFERRO,0.596
GA_TATTNALL,0.293
GA_TAYLOR,0.39299999999999996
GA_TELFAIR,0.365
GA_TERRELL,0.612
GA_THOMAS,0.369
GA_TIFT,0.29
GA_TOOMBS,0.249
GA_TOWNS,0.004
GA_TREUTLEN,0.326
GA_TROUP,0.33399999999999996
GA_TURNER,0.41600000000000004
GA_TWIGGS,0.413
GA_UNION,0.005
GA_UPSON,0.28
GA_WALKER,0.040999999999999995
GA_WALTON,0.156
GA_WARE,0.295
GA_WARREN,0.617
GA_WASHINGTON,0.527
GA_WAYNE,0.19899999999999998
GA_WEBSTER,0.423
GA_WHEELER,0.35200000000000004
GA_WHITE,0.017
GA_WHITFIELD,0.037000000000000005
GA_WILCOX,0.35100000000000003
GA_WILKES,0.428
GA_WILKINSON,0.384
GA_WORTH,0.276
HI_HAWAII,0.006
HI_HONOLULU,0.02
HI_KALAWAO,0.0
HI_KAUAI,0.004
HI_MAUI,0.006
ID_ADA,0.011000000000000001
ID_ADAMS,0.001
ID_BANNOCK,0.008
ID_BEARLAKE,0.001
ID_BENEWAH,0.003
ID_BINGHAM,0.002
ID_BLAINE,0.002
ID_BOISE,0.002
ID_BONNER,0.001
ID_BONNEVILLE,0.006
ID_BOUNDARY,0.003
ID_BUTTE,0.002
ID_CAMAS,0.003
ID_CANYON,0.006
ID_CARIBOU,0.001
ID_CASSIA,0.003
ID_CLARK,0.006999999999999999
ID_CLEARWATER,0.002
ID_CUSTER,0.002
ID_ELMORE,0.027000000000000003
ID_FRANKLIN,0.002
ID_FREMONT,0.003
ID_GEM,0.001
ID_GOODING,0.002
ID_IDAHO,0.003
ID_JEFFERSON,0.002
ID_JEROME,0.003
ID_KOOTENAI,0.003
ID_LATAH,0.008
ID_LEMHI,0.002
ID_LEWIS,0.004
ID_LINCOLN,0.004
ID_MADISON,0.005
