,STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE
129,AR_MARION,5336,0.7508,1434,0.2018,18188.0,2017.0,0.145,2017.0,0.41600000000000004
130,AR_MILLER,11294,0.7019,4273,0.2656,20636.0,2017.0,0.128,2017.0,0.511
132,AR_MONROE,1489,0.5163,1312,0.4549,16939.0,2017.0,0.14,2017.0,0.457
133,AR_MONTGOMERY,2643,0.7426,748,0.2102,19021.0,2017.0,0.172,2017.0,0.493
135,AR_NEWTON,2875,0.7661,699,0.1863,17884.0,2017.0,0.159,2017.0,0.44299999999999995
136,AR_OUACHITA,5351,0.5386,4321,0.4349,18975.0,2017.0,0.113,2017.0,0.539
137,AR_PERRY,3008,0.6986,1049,0.2436,22047.0,2017.0,0.135,2017.0,0.436
138,AR_PHILLIPS,2446,0.3518,4310,0.6199,16830.0,2017.0,0.126,2017.0,0.43700000000000006
139,AR_PIKE,3150,0.7913,685,0.1721,18377.0,2017.0,0.195,2017.0,0.568
140,AR_POINSETT,5502,0.7125,1880,0.2435,16919.0,2017.0,0.141,2017.0,0.424
141,AR_POLK,6618,0.804,1212,0.1472,19116.0,2017.0,0.162,2017.0,0.532
142,AR_POPE,16256,0.7203,5000,0.2215,19918.0,2017.0,0.148,2017.0,0.551
143,AR_PRAIRIE,2505,0.7273999999999999,814,0.2364,18137.0,2017.0,0.147,2017.0,0.525
144,AR_PULASKI,61257,0.3834,89574,0.5606,27414.0,2017.0,0.126,2017.0,0.6729999999999999
145,AR_RANDOLPH,4509,0.7069,1425,0.2234,18871.0,2017.0,0.136,2017.0,0.594
146,AR_SALINE,35863,0.6883,13256,0.2544,25962.0,2017.0,0.106,2017.0,0.626
147,AR_SCOTT,2731,0.7781,602,0.1715,18934.0,2017.0,0.177,2017.0,0.483
148,AR_SEARCY,2955,0.7927,601,0.1612,16731.0,2017.0,0.185,2017.0,0.45899999999999996
149,AR_SEBASTIAN,29127,0.6525,12300,0.2756,23222.0,2017.0,0.158,2017.0,0.521
150,AR_SEVIER,3282,0.7193999999999999,1075,0.2356,16021.0,2017.0,0.214,2017.0,0.396
151,AR_SHARP,5407,0.7459,1472,0.2031,16714.0,2017.0,0.16,2017.0,0.409
153,AR_STONE,4113,0.7321,1203,0.2141,17403.0,2017.0,0.17,2017.0,0.49200000000000005
154,AR_UNION,10456,0.6189,5855,0.3466,20718.0,2017.0,0.14,2017.0,0.532
157,AR_WHITE,21077,0.7528,5170,0.1846,21793.0,2017.0,0.135,2017.0,0.524
158,AR_WOODRUFF,1347,0.5239,1118,0.4349,19087.0,2017.0,0.146,2017.0,0.32799999999999996
159,AR_YELL,4608,0.7156,1480,0.2298,16992.0,2017.0,0.19,2017.0,0.384
160,FL_ALACHUA,46834,0.3643,75820,0.5897,24857.0,2017.0,0.166,2017.0,0.76
161,FL_BAKER,10294,0.8148000000000001,2112,0.1672,19852.0,2017.0,0.154,2017.0,0.39399999999999996
162,FL_BAY,62194,0.7112,21797,0.2492,24498.0,2017.0,0.187,2017.0,0.604
163,FL_BRADFORD,8913,0.7367,2924,0.24170000000000005,17749.0,2017.0,0.171,2017.0,0.40299999999999997
164,FL_BREVARD,181848,0.5778,119679,0.3802,27009.0,2017.0,0.177,2017.0,0.657
165,FL_BROWARD,260951,0.31370000000000003,553320,0.6651,28205.0,2017.0,0.208,2017.0,0.6659999999999999
166,FL_CALHOUN,4655,0.7655,1241,0.2041,14675.0,2017.0,0.198,2017.0,0.44299999999999995
167,FL_CHARLOTTE,60218,0.6248,33445,0.34700000000000003,26286.0,2017.0,0.207,2017.0,0.53
168,FL_CITRUS,54456,0.6833,22789,0.2859,23148.0,2017.0,0.186,2016.0,0.489
169,FL_CITRUS,54456,0.6833,22789,0.2859,23148.0,2017.0,0.186,2017.0,0.48200000000000004
170,FL_CITRUS,54456,0.6833,22789,0.2859,23148.0,2017.0,0.186,2015.0,0.46799999999999997
171,FL_CLAY,74963,0.7040000000000001,27822,0.2613,26577.0,2017.0,0.143,2017.0,0.648
172,FL_COLLIER,105423,0.6173,61085,0.3577,36439.0,2017.0,0.265,2017.0,0.5
173,FL_COLUMBIA,20368,0.7095,7601,0.2648,19306.0,2017.0,0.17,2017.0,0.501
174,FL_DESOTO,6778,0.6265,3781,0.34950000000000003,15088.0,2017.0,0.308,2017.0,0.228
175,FL_DIXIE,5822,0.8084,1270,0.17629999999999998,16851.0,2017.0,0.189,2017.0,0.366
176,FL_DUVAL,211672,0.4892,205704,0.4754,26143.0,2017.0,0.156,2017.0,0.6459999999999999
177,FL_ESCAMBIA,88808,0.5825,57461,0.3769,23441.0,2017.0,0.158,2017.0,0.66
178,FL_FLAGLER,33850,0.5887,22026,0.383,24497.0,2017.0,0.186,2017.0,0.597
179,FL_FRANKLIN,4125,0.6858,1744,0.2899,19843.0,2017.0,0.189,2017.0,0.37
180,FL_GADSDEN,6728,0.3043,15020,0.6762,17615.0,2017.0,0.2,2017.0,0.38
181,FL_GILCHRIST,6740,0.8005,1458,0.1732,20180.0,2017.0,0.221,2017.0,0.48
182,FL_GLADES,2996,0.6883,1271,0.292,16011.0,2017.0,0.282,2017.0,0.27399999999999997
183,FL_GULF,5329,0.7306999999999999,1720,0.2358,18546.0,2017.0,0.189,2017.0,0.473
184,FL_HAMILTON,3443,0.6306,1904,0.34869999999999995,16295.0,2017.0,0.178,2017.0,0.336
185,FL_HARDEE,5242,0.6912999999999999,2149,0.2834,15366.0,2017.0,0.272,2017.0,0.213
186,FL_HENDRY,6195,0.5574,4615,0.4152,16133.0,2017.0,0.289,2017.0,0.306
187,FL_HERNANDO,58970,0.6286999999999999,31795,0.339,21411.0,2017.0,0.188,2017.0,0.556
188,FL_HIGHLANDS,29565,0.6470999999999999,14937,0.3269,20072.0,2017.0,0.251,2017.0,0.429
189,FL_HILLSBOROUGH,266870,0.4465,307896,0.5152,27149.0,2017.0,0.178,2017.0,0.65
190,FL_HOLMES,7483,0.8789,853,0.1002,16845.0,2017.0,0.189,2017.0,0.368
192,FL_JACKSON,14257,0.6776000000000001,6397,0.304,17525.0,2017.0,0.16,2017.0,0.44299999999999995
193,FL_JEFFERSON,3930,0.5141,3541,0.4632,21184.0,2017.0,0.173,2017.0,0.38799999999999996
194,FL_LAFAYETTE,2809,0.8234999999999999,518,0.1527,18660.0,2017.0,0.242,2017.0,0.36700000000000005
195,FL_LAKE,102188,0.5948,62838,0.3686,24183.0,2017.0,0.2,2017.0,0.5579999999999999
196,FL_LEE,191551,0.5868,124908,0.3827,27348.0,2017.0,0.235,2017.0,0.529
197,FL_LEON,53821,0.3538,92068,0.6052000000000001,26196.0,2017.0,0.138,2017.0,0.782
198,FL_LEVY,13775,0.7101999999999999,5101,0.263,18304.0,2017.0,0.226,2017.0,0.409
199,FL_LIBERTY,2543,0.7715000000000001,651,0.1975,16266.0,2017.0,0.184,2017.0,0.35
200,FL_MADISON,4851,0.5704,3526,0.4146,15538.0,2017.0,0.184,2017.0,0.436
201,FL_MANATEE,101944,0.5697,71224,0.398,27322.0,2017.0,0.209,2017.0,0.545
202,FL_MARION,107833,0.6172,62041,0.3551,21992.0,2017.0,0.214,2017.0,0.52
203,FL_MARTIN,53204,0.6202000000000001,30185,0.3518,34057.0,2017.0,0.199,2017.0,0.5760000000000001
204,FL_MIAMI-DADE,333999,0.3407,624146,0.6368,23174.0,2017.0,0.255,2017.0,0.595
205,FL_MONROE,21904,0.5157,18971,0.4466,33974.0,2017.0,0.225,2017.0,0.629
206,FL_NASSAU,34266,0.7352,10869,0.2332,28926.0,2017.0,0.147,2017.0,0.563
207,FL_OKALOOSA,71893,0.7128,23780,0.2358,28600.0,2017.0,0.165,2017.0,0.67
208,FL_OKEECHOBEE,9356,0.6853,3959,0.29,17787.0,2017.0,0.271,2017.0,0.303
209,FL_ORANGE,195216,0.3574,329894,0.6039,24877.0,2017.0,0.202,2017.0,0.672
210,FL_OSCEOLA,50301,0.3588,85458,0.6095,19007.0,2017.0,0.218,2017.0,0.568
212,FL_PASCO,142101,0.5893,90142,0.3738,23736.0,2017.0,0.181,2017.0,0.629
213,FL_PINELLAS,239201,0.4858,233701,0.4746,29262.0,2017.0,0.177,2017.0,0.642
214,FL_POLK,157430,0.5537,117433,0.413,21285.0,2017.0,0.196,2017.0,0.49200000000000005
215,FL_PUTNAM,22138,0.6685,10094,0.3048,18377.0,2017.0,0.216,2017.0,0.43
217,FL_SARASOTA,124438,0.5432,97870,0.4273,32313.0,2017.0,0.198,2017.0,0.585
218,FL_SEMINOLE,109443,0.4866,105914,0.4709,28675.0,2017.0,0.155,2017.0,0.74
221,FL_SUMTER,52730,0.6878,22638,0.2953,27504.0,2017.0,0.161,2017.0,0.376
223,FL_TAYLOR,6930,0.746,2152,0.2316,17045.0,2017.0,0.175,2017.0,0.387
224,FL_UNION,4568,0.8022,1014,0.17809999999999998,13590.0,2017.0,0.148,2017.0,0.384
225,FL_VOLUSIA,143007,0.5482,109091,0.4182,23973.0,2017.0,0.214,2017.0,0.578
226,FL_WAKULLA,10512,0.6848000000000001,4348,0.2832,21797.0,2017.0,0.148,2017.0,0.51
227,FL_WALTON,25756,0.7656999999999999,6876,0.20440000000000005,25845.0,2017.0,0.217,2017.0,0.574
230,GA_APPLING,5494,0.7843000000000001,1434,0.2047,19643.0,2017.0,0.209,2017.0,0.33799999999999997
231,GA_ATKINSON,1878,0.7195,697,0.267,15958.0,2017.0,0.279,2017.0,0.36
232,GA_BACON,3364,0.8370000000000001,608,0.15130000000000002,18558.0,2017.0,0.22,2017.0,0.42
233,GA_BAKER,775,0.5382,650,0.4514,17019.0,2017.0,0.191,2017.0,0.469
234,GA_BALDWIN,7697,0.4785,7970,0.4955,18622.0,2017.0,0.164,2017.0,0.48700000000000004
235,GA_BANKS,6134,0.8826,684,0.0984,20231.0,2017.0,0.201,2017.0,0.40700000000000003
236,GA_BARROW,21108,0.7321,6580,0.2282,21379.0,2017.0,0.184,2017.0,0.536
237,GA_BARTOW,29911,0.7609999999999999,8212,0.2089,21022.0,2017.0,0.188,2017.0,0.507
239,GA_BERRIEN,5422,0.8234999999999999,1047,0.159,16784.0,2017.0,0.217,2017.0,0.484
240,GA_BIBB,24043,0.3861,36787,0.5907,20982.0,2017.0,0.17,2017.0,0.555
241,GA_BLECKLEY,3719,0.7524,1101,0.2227,20156.0,2017.0,0.173,2017.0,0.469
242,GA_BRANTLEY,5567,0.8848,619,0.0984,16938.0,2017.0,0.209,2017.0,0.386
243,GA_BROOKS,3701,0.5858,2528,0.4001,19409.0,2017.0,0.225,2017.0,0.45799999999999996
244,GA_BRYAN,10529,0.698,4014,0.2661,27556.0,2017.0,0.138,2017.0,0.7170000000000001
245,GA_BULLOCH,15097,0.5979,9261,0.3668,18587.0,2017.0,0.191,2017.0,0.688
