STATE_COUNTY,PER_CAPITA_INCOME
MS_LAMAR,26345
KS_DOUGLAS,26342
WY_PLATTE,26335
TX_KERR,26334
IA_CHEROKEE,26330
OH_WOOD,26326
IL_WASHINGTONCOUNTY,26325
GA_PUTNAM,26321
NC_DAVIE,26319
KS_OSBORNE,26313
RI_PROVIDENCE,26308
FL_CHARLOTTE,26286
KS_JEFFERSON,26280
MT_GRANITE,26277
UT_MORGAN,26274
KS_SCOTT,26274
OR_COLUMBIA,26271
WI_LACROSSE,26271
WV_BERKELEY,26264
NV_CARSONCITY,26264
IA_DELAWARECOUNTY,26261
PA_BEAVER,26258
IA_DUBUQUE,26254
WI_VILAS,26252
KY_FRANKLIN,26243
IL_ST.CLAIR,26234
KS_GOVE,26233
IL_MACON,26232
KS_BARBER,26229
KS_LINN,26224
NV_CLARK,26217
KS_PRATT,26209
VT_RUTLAND,26205
IA_GREENE,26205
VA_CHARLESCITYCOUNTY,26198
FL_LEON,26196
SD_HYDE,26195
NE_LINCOLN,26188
IA_WORTH,26187
TX_GUADALUPE,26184
IA_HARRISON,26184
SD_POTTER,26180
MO_COLE,26160
NC_BUNCOMBE,26159
FL_DUVAL,26143
OH_HANCOCK,26139
ND_RANSOM,26137
OH_ERIE,26135
WV_OHIOCOUNTY,26135
WI_SHEBOYGAN,26126
MT_DAWSON,26126
ND_GOLDENVALLEY,26113
SD_HUTCHINSON,26110
OK_BEAVER,26109
UT_SALTLAKE,26103
IA_FRANKLIN,26102
NE_FRANKLIN,26095
MN_STEARNS,26065
MN_RENVILLE,26062
MO_JACKSON,26062
VA_WINCHESTERCITY,26060
VA_NELSON,26059
KS_SHAWNEE,26057
PA_PERRY,26048
MN_KOOCHICHING,26045
UT_DAVIS,26035
OH_LORAIN,26030
MN_LYON,26028
SD_HAND,26027
OK_WOODS,26022
MN_BIGSTONE,26019
MN_CHIPPEWA,25993
NY_NIAGARA,25991
WI_SAUK,25988
IA_STORY,25986
IL_MARSHALL,25975
IA_CLINTON,25966
AR_SALINE,25962
WI_WOOD,25961
KY_MCCRACKEN,25957
WI_WAUPACA,25956
WY_CARBON,25947
MN_ST.LOUISCOUNTY,25946
CA_TUOLUMNE,25943
WI_OCONTO,25941
MI_MONROE,25939
CO_JACKSON,25936
GA_MORGAN,25933
GA_GWINNETT,25932
MT_GARFIELD,25921
SD_WALWORTH,25915
CA_SANBENITO,25914
IL_HENDERSON,25902
NE_WHEELER,25898
WA_CHELAN,25893
MI_KENT,25889
IL_BOONE,25888
TX_AUSTIN,25884
IA_IDA,25869
TX_CLAY,25867
WA_CLALLAM,25865
NE_OTOE,25855
NC_CURRITUCK,25854
IA_POTTAWATTAMIE,25847
WV_MONONGALIA,25846
FL_WALTON,25845
WY_LINCOLN,25834
IN_BROWN,25833
IA_WRIGHT,25827
WI_MANITOWOC,25825
SD_SANBORN,25823
MA_HAMPDEN,25817
WA_LINCOLN,25816
IA_HANCOCK,25814
NE_BANNER,25814
KS_BARTON,25800
MN_POLK,25790
MT_FLATHEAD,25790
MN_SIBLEY,25789
ID_VALLEY,25785
IN_MORGAN,25781
UT_WASATCH,25777
SD_EDMUNDS,25775
OK_KINGFISHER,25773
ME_KENNEBEC,25770
IA_CALHOUN,25766
MT_MISSOULA,25764
SC_RICHLAND,25763
CO_CUSTER,25761
MI_KALAMAZOO,25757
SD_HAAKON,25754
WI_POLK,25751
SD_PERKINS,25751
MN_SWIFT,25750
LA_PLAQUEMINES,25748
PA_FRANKLIN,25741
NE_CEDAR,25738
MN_WASECA,25723
VA_CAROLINE,25718
IL_CHAMPAIGN,25713
IL_LASALLE,25709
NY_GREENE,25700
NM_HARDING,25686
MT_VALLEY,25685
OR_CLATSOP,25680
NC_HENDERSON,25670
MN_FREEBORN,25668
MN_MEEKER,25665
TX_WISE,25663
TX_ELLIS,25662
WA_SPOKANE,25661
MN_ROSEAU,25650
MN_REDWOOD,25649
VA_ROCKBRIDGE,25638
KY_JESSAMINE,25637
MN_WATONWAN,25635
TX_SMITH,25626
WI_JEFFERSON,25625
NC_CAMDEN,25620
OK_LOGAN,25620
KS_SEDGWICK,25603
IN_NEWTON,25594
PA_LACKAWANNA,25594
NE_BOONE,25590
IN_DUBOIS,25589
SD_CODINGTON,25582
NE_ADAMS,25571
IA_ADAIR,25564
TX_HARDIN,25559
IA_POCAHONTAS,25556
NC_LINCOLN,25550
TN_SHELBY,25549
PA_CENTRE,25545
KS_GRAY,25537
KS_REPUBLIC,25531
CA_ALPINE,25527
KY_TRIGG,25527
MT_LIBERTY,25522
VA_AUGUSTA,25519
WY_UINTA,25513
PA_MONROE,25494
MN_ISANTI,25482
OH_PUTNAM,25481
IA_MARION,25477
CO_WELD,25468
IL_JERSEY,25467
NE_FILLMORE,25460
MN_BECKER,25455
NM_LINCOLN,25449
IL_FORD,25448
IA_CASS,25448
IN_OHIOCOUNTY,25443
TX_SHACKELFORD,25436
IA_CARROLL,25430
KS_WALLACE,25429
ND_MCINTOSH,25427
NE_PAWNEE,25426
IL_LEE,25409
SD_TURNER,25406
NY_GENESEE,25403
KS_CLARK,25385
