YEAR,STATE_COUNTY,UNEMP_RATE
2017,WV_WEBSTER,0.077
2017,MS_AMITE,0.077
2017,AL_MARENGO,0.077
2017,GA_LAMAR,0.076
2017,MS_TALLAHATCHIE,0.076
2017,GA_TALBOT,0.076
2017,WA_COWLITZ,0.076
2017,GA_WILCOX,0.076
2017,ID_ADAMS,0.076
2017,TX_ZAPATA,0.076
2017,MS_GEORGE,0.076
2017,NM_SOCORRO,0.076
2017,WV_GRANT,0.076
2017,NC_COLUMBUS,0.076
2017,AL_WINSTON,0.076
2017,TN_RHEA,0.076
2017,TN_MORGAN,0.076
2017,MI_OCEANA,0.076
2017,TN_GIBSON,0.076
2017,CA_SANBENITO,0.076
2017,AZ_LAPAZ,0.076
2017,NC_NORTHAMPTON,0.076
2017,OR_COOS,0.076
2017,OK_PUSHMATAHA,0.076
2017,OK_HASKELL,0.076
2017,KY_ADAIR,0.076
2017,AR_DESHA,0.076
2017,LA_WASHINGTON,0.076
2017,KS_NEOSHO,0.075
2017,NM_VALENCIA,0.075
2017,TX_NEWTON,0.075
2017,VA_TAZEWELL,0.075
2017,WI_FOREST,0.075
2017,MI_LAPEER,0.075
2017,LA_STMARY,0.075
2017,NC_DARE,0.075
2017,MI_OGEMAW,0.075
2017,GA_CLAYTON,0.075
2017,AL_BUTLER,0.075
2017,GA_DOOLY,0.075
2017,VA_LEXINGTON,0.075
2017,AR_STFRANCIS,0.075
2017,TN_LEWIS,0.075
2017,OH_JACKSON,0.075
2017,MO_CARTER,0.075
2017,GA_LAURENS,0.075
2017,CA_SANTACRUZ,0.075
2017,MS_STONE,0.075
2017,TX_JASPER,0.075
2017,GA_WILKES,0.075
2017,MS_MONROE,0.075
2017,WA_FRANKLIN,0.075
2017,MI_CRAWFORD,0.075
2017,VA_HOPEWELL,0.075
2017,FL_SUMTER,0.075
2017,WV_HARDY,0.075
2017,WI_ADAMS,0.074
2017,OH_NOBLE,0.074
2017,OR_JEFFERSON,0.074
2017,SC_DARLINGTON,0.074
2017,MI_CHIPPEWA,0.074
2017,AR_DALLAS,0.074
2017,NC_PASQUOTANK,0.074
2017,MS_PIKE,0.074
2017,OK_CHOCTAW,0.074
2017,OK_COAL,0.074
2017,LA_AVOYELLES,0.074
2017,WV_BARBOUR,0.074
2017,LA_CADDO,0.074
2017,GA_WILKINSON,0.074
2017,LA_EVANGELINE,0.074
2017,SD_TODD,0.074
2017,TN_WAYNE,0.074
2017,NM_DONAANA,0.074
2017,OH_PIKE,0.074
2017,FL_CITRUS,0.074
2017,GA_MURRAY,0.074
2017,SD_BUFFALO,0.074
2017,GA_MUSCOGEE,0.074
2017,IL_MASSAC,0.074
2017,TN_FENTRESS,0.074
2017,MS_MARION,0.074
2017,AZ_COCHISE,0.074
2017,FL_HIGHLANDS,0.074
2017,NC_CUMBERLAND,0.074
2017,KY_LIVINGSTON,0.074
2017,OH_JEFFERSON,0.074
2017,MS_LAWRENCE,0.074
2017,TN_HARDIN,0.074
2017,GA_TERRELL,0.074
2017,GA_ELBERT,0.074
2017,AR_RANDOLPH,0.074
2017,MI_CLARE,0.074
2017,AZ_GRAHAM,0.074
2017,MD_DORCHESTER,0.074
2017,WV_MINERAL,0.073
2017,TN_CLAIBORNE,0.073
2017,MI_WAYNE,0.073
2017,TN_TIPTON,0.073
2017,MI_KALKASKA,0.073
2017,NC_LEE,0.073
2017,WV_RALEIGH,0.073
2017,NC_BERTIE,0.073
2017,GA_BAKER,0.073
2017,WV_BROOKE,0.073
2017,CA_LASSEN,0.073
2017,NC_NASH,0.073
2017,WA_SKAMANIA,0.073
2017,VA_DANVILLE,0.073
2017,MS_COPIAH,0.073
2017,OR_HARNEY,0.073
2017,UT_DUCHESNE,0.073
2017,MS_MARSHALL,0.073
2017,GA_WAYNE,0.073
2017,GA_RICHMOND,0.073
2017,MS_WEBSTER,0.073
2017,OH_MORGAN,0.073
2017,LA_LINCOLN,0.073
2017,NV_CARSONCITY,0.073
2017,NV_STOREY,0.073
2017,LA_STJOHNTHEBAPTIST,0.073
2017,GA_BRANTLEY,0.073
2017,LA_CLAIBORNE,0.073
2017,WV_MERCER,0.073
2017,TN_OVERTON,0.073
2017,TN_DYER,0.073
2017,MS_TATE,0.072
2017,NC_BRUNSWICK,0.072
2017,MI_IOSCO,0.072
2017,FL_PUTNAM,0.072
2017,IL_PERRY,0.072
2017,MI_ANTRIM,0.072
2017,AR_JEFFERSON,0.072
2017,IL_MASON,0.072
2017,SC_CHEROKEE,0.072
2017,CA_MARIPOSA,0.072
2017,CA_BUTTE,0.072
2017,TX_JIMHOGG,0.072
2017,VA_LEE,0.072
2017,PA_FAYETTE,0.072
2017,OK_HUGHES,0.072
2017,AL_WALKER,0.072
2017,AR_CLEBURNE,0.072
2017,LA_TANGIPAHOA,0.072
2017,WV_JACKSON,0.072
2017,TN_CUMBERLAND,0.072
2017,NY_OSWEGO,0.072
2017,LA_GRANT,0.072
2017,NC_CHOWAN,0.072
2017,MS_JACKSON,0.072
2017,OR_COLUMBIA,0.072
2017,SC_MCCORMICK,0.072
2017,KY_POWELL,0.072
2017,NM_QUAY,0.072
2017,IL_MACON,0.071
2017,WA_JEFFERSON,0.071
2017,WA_GRANT,0.071
2017,NY_LEWIS,0.071
2017,MS_LOWNDES,0.071
2017,KY_MUHLENBERG,0.071
2017,LA_IBERVILLE,0.071
2017,GA_UPSON,0.071
2017,LA_SABINE,0.071
2017,KY_BALLARD,0.071
2017,GA_THOMAS,0.071
2017,IL_VERMILION,0.071
2017,IL_WINNEBAGO,0.071
2017,MD_ALLEGANY,0.071
2017,MS_YALOBUSHA,0.071
2017,IL_LAWRENCE,0.071
2017,NM_GUADALUPE,0.071
2017,MI_STCLAIR,0.071
2017,AR_SHARP,0.071
2017,KY_EDMONSON,0.071
2017,NJ_SALEM,0.071
2017,GA_APPLING,0.071
2017,MO_CLARK,0.071
2017,LA_CADDO,0.071
2017,TX_COTTLE,0.071
2017,AL_COVINGTON,0.071
2017,WI_BURNETT,0.071
2017,AR_DREW,0.071
2017,WI_VILAS,0.071
2017,CA_TUOLUMNE,0.071
2017,TX_CAMERON,0.071
2017,FL_GLADES,0.071
2017,LA_CADDO,0.071
2017,NC_HERTFORD,0.071
2017,IL_CLAY,0.071
2017,IN_VERMILLION,0.071
2017,WA_KLICKITAT,0.071
2017,NC_PERQUIMANS,0.071
2017,TX_TYLER,0.071
2017,IL_LASALLE,0.07
2017,AL_FAYETTE,0.07
2017,PA_CAMERON,0.07
2017,AL_CALHOUN,0.07
2017,ID_LEMHI,0.07
2017,TX_JEFFERSON,0.07
2017,LA_UNION,0.07
2017,AR_MONTGOMERY,0.07
2017,TN_PERRY,0.07
2017,SC_CALHOUN,0.07
2017,VA_EMPORIA,0.07
2017,KY_WHITLEY,0.07
2017,GA_JOHNSON,0.07
2017,TN_WEAKLEY,0.07
2017,AR_VANBUREN,0.07
2017,MO_REYNOLDS,0.07
2017,TN_DEKALB,0.07
