,STATE_COUNTY,PERCENT,tax,property_tax,sales_tax,business_tax,utility_tax,hotel_tax,bonds,ordinance,infrastructure,roads,parks,social_services,mental_health,substance_abuse,affordable_housing,emergency_services,fire,police,paramedic,spending_limit,cannabis,education,library,school,land_use,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME
57,CA_RIVERSIDE,75.2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,333243,0.4435,373695,0.4973,23591
58,CA_RIVERSIDE,76.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,333243,0.4435,373695,0.4973,23591
59,CA_RIVERSIDE,56.4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,333243,0.4435,373695,0.4973,23591
60,CA_RIVERSIDE,78.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,333243,0.4435,373695,0.4973,23591
61,CA_RIVERSIDE,59.8,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333243,0.4435,373695,0.4973,23591
62,CA_RIVERSIDE,63.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333243,0.4435,373695,0.4973,23591
63,CA_SAN BERNARDINO,57.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271240,0.4148,340833,0.5212,21332
64,CA_SAN BERNARDINO,72.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,271240,0.4148,340833,0.5212,21332
65,CA_SAN BERNARDINO,15.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271240,0.4148,340833,0.5212,21332
66,CA_SAN BERNARDINO,65.2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,271240,0.4148,340833,0.5212,21332
67,CA_SAN BERNARDINO,61.7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,271240,0.4148,340833,0.5212,21332
68,CA_SAN DIEGO,37.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,477766,0.3657,735476,0.563,30668
69,CA_SAN LUIS OBISPO,29.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56164,0.416,67107,0.4971,29954
70,CA_SAN MATEO,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57929,0.1843,237882,0.7567,45732
71,CA_SAN MATEO,52.6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,57929,0.1843,237882,0.7567,45732
72,CA_SAN MATEO,75.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57929,0.1843,237882,0.7567,45732
73,CA_SAN MATEO,79.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57929,0.1843,237882,0.7567,45732
74,CA_SAN MATEO,63.2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,57929,0.1843,237882,0.7567,45732
75,CA_SAN MATEO,39.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57929,0.1843,237882,0.7567,45732
76,CA_SAN MATEO,78.8,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,57929,0.1843,237882,0.7567,45732
77,CA_SAN MATEO,81.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57929,0.1843,237882,0.7567,45732
78,CA_SAN MATEO,81.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57929,0.1843,237882,0.7567,45732
79,CA_SANTA BARBARA,56.1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,56365,0.3188,107142,0.6061,30352
80,CA_SANTA CLARA,84.5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,144826,0.2058,511684,0.7271,41513
81,CA_SANTA CLARA,36.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,144826,0.2058,511684,0.7271,41513
82,CA_SANTA CLARA,63.1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,144826,0.2058,511684,0.7271,41513
83,CA_SHASTA,79.2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,51778,0.6468,22301,0.2786,23670
84,CA_SONOMA,48.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51408,0.2223,160435,0.6938,32835
85,CA_SONOMA,77.3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51408,0.2223,160435,0.6938,32835
86,CA_SONOMA,78.8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51408,0.2223,160435,0.6938,32835
87,CA_SONOMA,75.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51408,0.2223,160435,0.6938,32835
88,CA_STANISLAUS,82.5,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78494,0.456,81647,0.4743,21663
89,CA_TULARE,68.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58299,0.519,47585,0.4236,17894
90,CA_TULARE,60.5,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,58299,0.519,47585,0.4236,17894
