STATE_COUNTY,ASIANPER
GA_TAYLOR,0.006
GA_TELFAIR,0.006
GA_TERRELL,0.003
GA_THOMAS,0.006999999999999999
GA_TIFT,0.013000000000000001
GA_TOOMBS,0.006999999999999999
GA_TOWNS,0.004
GA_TREUTLEN,0.002
GA_TROUP,0.016
GA_TURNER,0.004
GA_TWIGGS,0.002
GA_UNION,0.004
GA_UPSON,0.005
GA_WALKER,0.004
GA_WALTON,0.011000000000000001
GA_WARE,0.008
GA_WARREN,0.004
GA_WASHINGTON,0.005
GA_WAYNE,0.005
GA_WEBSTER,0.003
GA_WHEELER,0.002
GA_WHITE,0.005
GA_WHITFIELD,0.013000000000000001
GA_WILCOX,0.005
GA_WILKES,0.005
GA_WILKINSON,0.003
GA_WORTH,0.003
HI_HAWAII,0.222
HI_HONOLULU,0.439
HI_KALAWAO,0.078
HI_KAUAI,0.313
HI_MAUI,0.28800000000000003
ID_ADA,0.024
ID_ADAMS,0.004
ID_BANNOCK,0.013000000000000001
ID_BEARLAKE,0.004
ID_BENEWAH,0.003
ID_BINGHAM,0.006
ID_BLAINE,0.009000000000000001
ID_BOISE,0.004
ID_BONNER,0.005
ID_BONNEVILLE,0.008
ID_BOUNDARY,0.006
ID_BUTTE,0.002
ID_CAMAS,0.001
ID_CANYON,0.008
ID_CARIBOU,0.002
ID_CASSIA,0.005
ID_CLARK,0.005
ID_CLEARWATER,0.006999999999999999
ID_CUSTER,0.002
ID_ELMORE,0.027999999999999997
ID_FRANKLIN,0.001
ID_FREMONT,0.002
ID_GEM,0.005
ID_GOODING,0.005
ID_IDAHO,0.004
ID_JEFFERSON,0.004
ID_JEROME,0.003
ID_KOOTENAI,0.006999999999999999
ID_LATAH,0.021
ID_LEMHI,0.004
ID_LEWIS,0.004
ID_LINCOLN,0.004
ID_MADISON,0.009000000000000001
ID_MINIDOKA,0.004
ID_NEZPERCE,0.006999999999999999
ID_ONEIDA,0.005
ID_OWYHEE,0.005
ID_PAYETTE,0.008
ID_POWER,0.004
ID_SHOSHONE,0.004
ID_TETON,0.005
ID_TWINFALLS,0.012
ID_VALLEY,0.004
ID_WASHINGTON,0.009000000000000001
IL_ADAMS,0.006999999999999999
IL_ALEXANDER,0.002
IL_BOND,0.004
IL_BOONE,0.013000000000000001
IL_BROWN,0.002
IL_BUREAU,0.006999999999999999
IL_CALHOUN,0.002
IL_CARROLL,0.003
IL_CASS,0.003
IL_CHAMPAIGN,0.08900000000000001
IL_CHRISTIAN,0.005
IL_CLARK,0.003
IL_CLAY,0.005
IL_CLINTON,0.004
IL_COLES,0.01
IL_COOK,0.062
IL_CRAWFORD,0.005
IL_CUMBERLAND,0.002
IL_DEKALB,0.023
IL_DEWITT,0.004
IL_DOUGLAS,0.004
IL_DUPAGE,0.10099999999999999
IL_EDGAR,0.002
IL_EDWARDS,0.003
IL_EFFINGHAM,0.004
IL_FAYETTE,0.002
IL_FORD,0.003
IL_FRANKLIN,0.003
IL_FULTON,0.003
IL_GALLATIN,0.001
IL_GREENE,0.001
IL_GRUNDY,0.006999999999999999
IL_HAMILTON,0.002
IL_HANCOCK,0.002
IL_HARDIN,0.005
IL_HENDERSON,0.002
IL_HENRY,0.004
IL_IROQUOIS,0.003
IL_JACKSON,0.032
IL_JASPER,0.002
IL_JEFFERSON,0.006
IL_JERSEY,0.003
IL_JODAVIESS,0.003
IL_JOHNSON,0.002
IL_KANE,0.035
IL_KANKAKEE,0.009000000000000001
IL_KENDALL,0.03
IL_KNOX,0.006
IL_LAKE,0.063
IL_LASALLE,0.006999999999999999
IL_LAWRENCE,0.002
IL_LEE,0.006999999999999999
IL_LIVINGSTON,0.005
IL_LOGAN,0.006
IL_MCDONOUGH,0.018000000000000002
IL_MCHENRY,0.025
IL_MCLEAN,0.043
IL_MACON,0.01
IL_MACOUPIN,0.003
IL_MADISON,0.008
IL_MARION,0.006
IL_MARSHALL,0.004
IL_MASON,0.003
IL_MASSAC,0.003
IL_MENARD,0.002
IL_MERCER,0.003
IL_MONROE,0.004
IL_MONTGOMERY,0.004
IL_MORGAN,0.005
IL_MOULTRIE,0.002
IL_OGLE,0.005
IL_PEORIA,0.031
IL_PERRY,0.004
IL_PIATT,0.003
IL_PIKE,0.002
IL_POPE,0.002
IL_PULASKI,0.002
IL_PUTNAM,0.002
IL_RANDOLPH,0.003
IL_RICHLAND,0.006999999999999999
IL_ROCKISLAND,0.016
IL_STCLAIR,0.012
IL_SALINE,0.004
IL_SANGAMON,0.016
IL_SCHUYLER,0.001
IL_SCOTT,0.002
IL_SHELBY,0.003
IL_STARK,0.003
IL_STEPHENSON,0.006
IL_TAZEWELL,0.006999999999999999
IL_UNION,0.003
IL_VERMILION,0.006999999999999999
IL_WABASH,0.006
IL_WARREN,0.005
IL_WASHINGTON,0.003
IL_WAYNE,0.004
IL_WHITE,0.002
IL_WHITESIDE,0.005
