STATE_COUNTY,HISPANICPER
IL_JACKSON,0.04
IL_JASPER,0.008
IL_JEFFERSON,0.021
IL_JERSEY,0.01
IL_JODAVIESS,0.027000000000000003
IL_JOHNSON,0.03
IL_KANE,0.307
IL_KANKAKEE,0.09
IL_KENDALL,0.156
IL_KNOX,0.048
IL_LAKE,0.19899999999999998
IL_LASALLE,0.08
IL_LAWRENCE,0.033
IL_LEE,0.05
IL_LIVINGSTON,0.039
IL_LOGAN,0.028999999999999998
IL_MCDONOUGH,0.027000000000000003
IL_MCHENRY,0.114
IL_MCLEAN,0.044000000000000004
IL_MACON,0.019
IL_MACOUPIN,0.009000000000000001
IL_MADISON,0.027000000000000003
IL_MARION,0.013999999999999999
IL_MARSHALL,0.025
IL_MASON,0.008
IL_MASSAC,0.019
IL_MENARD,0.01
IL_MERCER,0.019
IL_MONROE,0.013999999999999999
IL_MONTGOMERY,0.015
IL_MORGAN,0.02
IL_MOULTRIE,0.009000000000000001
IL_OGLE,0.08900000000000001
IL_PEORIA,0.038
IL_PERRY,0.027000000000000003
IL_PIATT,0.01
IL_PIKE,0.01
IL_POPE,0.013999999999999999
IL_PULASKI,0.016
IL_PUTNAM,0.042
IL_RANDOLPH,0.026000000000000002
IL_RICHLAND,0.013000000000000001
IL_ROCKISLAND,0.11599999999999999
IL_STCLAIR,0.033
IL_SALINE,0.013999999999999999
IL_SANGAMON,0.018000000000000002
IL_SCHUYLER,0.012
IL_SCOTT,0.008
IL_SHELBY,0.008
IL_STARK,0.01
IL_STEPHENSON,0.028999999999999998
IL_TAZEWELL,0.019
IL_UNION,0.048
IL_VERMILION,0.042
IL_WABASH,0.013000000000000001
IL_WARREN,0.084
IL_WASHINGTON,0.013000000000000001
IL_WAYNE,0.011000000000000001
IL_WHITE,0.011000000000000001
IL_WHITESIDE,0.11
IL_WILL,0.156
IL_WILLIAMSON,0.02
IL_WINNEBAGO,0.109
IL_WOODFORD,0.013999999999999999
IN_ADAMS,0.040999999999999995
IN_ALLEN,0.065
IN_BARTHOLOMEW,0.062
IN_BENTON,0.049
IN_BLACKFORD,0.009000000000000001
IN_BOONE,0.022000000000000002
IN_BROWN,0.012
IN_CARROLL,0.035
IN_CASS,0.126
IN_CLARK,0.049
IN_CLAY,0.011000000000000001
IN_CLINTON,0.132
IN_CRAWFORD,0.012
IN_DAVIESS,0.042
IN_DEARBORN,0.01
IN_DECATUR,0.017
IN_DEKALB,0.024
IN_DELAWARE,0.018000000000000002
IN_DUBOIS,0.06
IN_ELKHART,0.141
IN_FAYETTE,0.009000000000000001
IN_FLOYD,0.026000000000000002
IN_FOUNTAIN,0.022000000000000002
IN_FRANKLIN,0.009000000000000001
IN_FULTON,0.042
IN_GIBSON,0.013000000000000001
IN_GRANT,0.036000000000000004
IN_GREENE,0.01
IN_HAMILTON,0.034
IN_HANCOCK,0.017
IN_HARRISON,0.015
IN_HENDRICKS,0.03
IN_HENRY,0.013999999999999999
IN_HOWARD,0.027000000000000003
IN_HUNTINGTON,0.017
IN_JACKSON,0.057
IN_JASPER,0.054000000000000006
IN_JAY,0.027000000000000003
IN_JEFFERSON,0.023
IN_JENNINGS,0.02
IN_JOHNSON,0.031
IN_KNOX,0.015
IN_KOSCIUSKO,0.073
IN_LAGRANGE,0.035
IN_LAKE,0.16699999999999998
IN_LAPORTE,0.055
IN_LAWRENCE,0.012
IN_MADISON,0.032
IN_MARION,0.09300000000000001
IN_MARSHALL,0.084
IN_MARTIN,0.006999999999999999
IN_MIAMI,0.025
IN_MONROE,0.028999999999999998
IN_MONTGOMERY,0.046
IN_MORGAN,0.012
IN_NEWTON,0.05
IN_NOBLE,0.096
IN_OHIO,0.011000000000000001
IN_ORANGE,0.01
IN_OWEN,0.009000000000000001
IN_PARKE,0.012
IN_PERRY,0.01
IN_PIKE,0.009000000000000001
IN_PORTER,0.085
IN_POSEY,0.01
IN_PULASKI,0.024
IN_PUTNAM,0.015
IN_RANDOLPH,0.03
IN_RIPLEY,0.015
IN_RUSH,0.011000000000000001
IN_STJOSEPH,0.073
IN_SCOTT,0.015
IN_SHELBY,0.037000000000000005
IN_SPENCER,0.025
IN_STARKE,0.033
IN_STEUBEN,0.028999999999999998
IN_SULLIVAN,0.013999999999999999
IN_SWITZERLAND,0.013999999999999999
IN_TIPPECANOE,0.075
IN_TIPTON,0.022000000000000002
IN_UNION,0.011000000000000001
IN_VANDERBURGH,0.022000000000000002
IN_VERMILLION,0.008
IN_VIGO,0.023
IN_WABASH,0.021
IN_WARREN,0.008
IN_WARRICK,0.016
IN_WASHINGTON,0.011000000000000001
IN_WAYNE,0.026000000000000002
IN_WELLS,0.02
IN_WHITE,0.071
IN_WHITLEY,0.015
IA_ADAIR,0.013000000000000001
IA_ADAMS,0.009000000000000001
IA_ALLAMAKEE,0.053
IA_APPANOOSE,0.013999999999999999
IA_AUDUBON,0.006
IA_BENTON,0.011000000000000001
IA_BLACKHAWK,0.037000000000000005
IA_BOONE,0.019
IA_BREMER,0.01
IA_BUCHANAN,0.012
IA_BUENAVISTA,0.22699999999999998
IA_BUTLER,0.009000000000000001
IA_CALHOUN,0.009000000000000001
IA_CARROLL,0.016
IA_CASS,0.018000000000000002
IA_CEDAR,0.015
IA_CERROGORDO,0.038
IA_CHEROKEE,0.023
IA_CHICKASAW,0.022000000000000002
IA_CLARKE,0.1
IA_CLAY,0.028999999999999998
IA_CLAYTON,0.017
IA_CLINTON,0.025
IA_CRAWFORD,0.242
IA_DALLAS,0.061
IA_DAVIS,0.01
IA_DECATUR,0.021
IA_DELAWARE,0.008
IA_DESMOINES,0.026000000000000002
IA_DICKINSON,0.011000000000000001
IA_DUBUQUE,0.019
IA_EMMET,0.07400000000000001
IA_FAYETTE,0.018000000000000002
IA_FLOYD,0.02
IA_FRANKLIN,0.113
IA_FREMONT,0.025
IA_GREENE,0.018000000000000002
IA_GRUNDY,0.01
IA_GUTHRIE,0.018000000000000002
IA_HAMILTON,0.05
IA_HANCOCK,0.035
IA_HARDIN,0.037000000000000005
IA_HARRISON,0.012
IA_HENRY,0.038
IA_HOWARD,0.012
IA_HUMBOLDT,0.036000000000000004
IA_IDA,0.013999999999999999
IA_IOWA,0.019
IA_JACKSON,0.011000000000000001
IA_JASPER,0.015
IA_JEFFERSON,0.024
IA_JOHNSON,0.047
IA_JONES,0.013000000000000001
IA_KEOKUK,0.009000000000000001
IA_KOSSUTH,0.013999999999999999
IA_LEE,0.03
IA_LINN,0.026000000000000002
IA_LOUISA,0.158
IA_LUCAS,0.01
IA_LYON,0.018000000000000002
IA_MADISON,0.013000000000000001
IA_MAHASKA,0.016
IA_MARION,0.016
IA_MARSHALL,0.17300000000000001
IA_MILLS,0.024
IA_MITCHELL,0.01
IA_MONONA,0.012
IA_MONROE,0.021
IA_MONTGOMERY,0.027999999999999997
IA_MUSCATINE,0.159
IA_O'BRIEN,0.038
IA_OSCEOLA,0.067
IA_PAGE,0.027000000000000003
IA_PALOALTO,0.016
IA_PLYMOUTH,0.03
IA_POCAHONTAS,0.023
IA_POLK,0.076
IA_POTTAWATTAMIE,0.066
IA_POWESHIEK,0.024
IA_RINGGOLD,0.018000000000000002
IA_SAC,0.019
IA_SCOTT,0.055999999999999994
IA_SHELBY,0.018000000000000002
IA_SIOUX,0.08900000000000001
IA_STORY,0.03
IA_TAMA,0.07400000000000001
IA_TAYLOR,0.057999999999999996
IA_UNION,0.018000000000000002
IA_VANBUREN,0.012
IA_WAPELLO,0.091
IA_WARREN,0.019
IA_WASHINGTON,0.052000000000000005
IA_WAYNE,0.011000000000000001
IA_WEBSTER,0.038
IA_WINNEBAGO,0.033
IA_WINNESHIEK,0.02
IA_WOODBURY,0.13699999999999998
IA_WORTH,0.019
IA_WRIGHT,0.096
KS_ALLEN,0.028999999999999998
KS_ANDERSON,0.015
KS_ATCHISON,0.023
KS_BARBER,0.024
KS_BARTON,0.133
KS_BOURBON,0.02
KS_BROWN,0.031
KS_BUTLER,0.039
KS_CHASE,0.036000000000000004
KS_CHAUTAUQUA,0.024
KS_CHEROKEE,0.02
KS_CHEYENNE,0.052000000000000005
KS_CLARK,0.07400000000000001
KS_CLAY,0.019
KS_CLOUD,0.03
KS_COFFEY,0.02
KS_COMANCHE,0.039
KS_COWLEY,0.091
KS_CRAWFORD,0.045
KS_DECATUR,0.01
KS_DICKINSON,0.039
KS_DONIPHAN,0.021
KS_DOUGLAS,0.051
KS_EDWARDS,0.17600000000000002
KS_ELK,0.027000000000000003
KS_ELLIS,0.046
